,Question,History2,Rewrite
0,I just had a breast biopsy for cancer. What are the most common types?,,I just had a breast biopsy for cancer. What are the most common types of breast cancer?
1,"Once it breaks out, how likely is it to spread?",I just had a breast biopsy for cancer. What are the most common types of breast cancer?,"Once it breaks out, how likely is lobular carcinoma breast cancer to spread?"
2,How deadly is it?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread?",How deadly is lobular carcinoma in situ?
3,"What? No, I want to know about the deadliness of lobular carcinoma in situ.","I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ?","What? No, I want to know about the deadliness of lobular carcinoma in situ."
4,"Wow, that's better than I thought.  What are common treatments?","I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ.","Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?"
5,How does it behave differently from PLCIS?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ. | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ?",How does LCIS behave differently from PLCIS?
6,What makes lobular cancer distinct?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ. | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? | How does LCIS behave differently from PLCIS?",What makes lobular cancer distinct?
7,"For the first stage, what are the alternatives to surgery?","I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ. | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? | How does LCIS behave differently from PLCIS? | What makes lobular cancer distinct?","For the first stage, what are the alternatives to surgery for invasive lobular cancer?"
8,"No, I meant for lobular.","I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ. | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? | How does LCIS behave differently from PLCIS? | What makes lobular cancer distinct? | For the first stage, what are the alternatives to surgery for invasive lobular cancer?","No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer."
9,Does freezing work?,"I just had a breast biopsy for cancer. What are the most common types of breast cancer? | Once it breaks out, how likely is lobular carcinoma breast cancer to spread? | How deadly is lobular carcinoma in situ? | What? No, I want to know about the deadliness of lobular carcinoma in situ. | Wow, that's better than I thought. What are common treatments for lobular carcinoma in situ? | How does LCIS behave differently from PLCIS? | What makes lobular cancer distinct? | For the first stage, what are the alternatives to surgery for invasive lobular cancer? | No, I meant - what are the alternatives to surgery for stage 1 invasive lobular cancer.",Does freezing tumors work as an alternative to surgery for stage 1 invasive lobular cancer?
