,Target,Source
0,How do you know when your garage door opener is going bad?,Query: How do you know when your garage door opener is going bad? |||| Context:  |||| Reformulation: 
1,Now my garage door opener stopped working. Why?,Query: Now it stopped working. Why? |||| Context: How do you know when your garage door opener is going bad? |||| Reformulation: 
2,How much does it cost for someone to repair a garage door opener?,Query: How much does it cost for someone to fix it? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? |||| Reformulation: 
3,How much does it cost to replace a garage door opener?,Query: How about replacing it instead? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? ||| How much does it cost for someone to fix it? |||| Reformulation: 
4,How do I choose a new garage door opener?,Query: How do I choose a new one? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? ||| How much does it cost for someone to fix it? ||| How about replacing it instead? |||| Reformulation: 
5,What does a smart garage door opener do?,Query: What does a smart one do? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? ||| How much does it cost for someone to fix it? ||| How about replacing it instead? ||| How do I choose a new one? |||| Reformulation: 
6,What's important for me to know about the safety of smart garage door openers?,Query: What's important for me to know about their safety? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? ||| How much does it cost for someone to fix it? ||| How about replacing it instead? ||| How do I choose a new one? ||| What does a smart one do? |||| Reformulation: 
7,How could smart garage door openers be hacked?,Query: How could they be hacked? |||| Context: How do you know when your garage door opener is going bad? ||| Now it stopped working. Why? ||| How much does it cost for someone to fix it? ||| How about replacing it instead? ||| How do I choose a new one? ||| What does a smart one do? ||| What's important for me to know about their safety? |||| Reformulation: 
0,I would like to learn about GMO Food labeling.,Query: I would like to learn about GMO Food labeling. |||| Context:  |||| Reformulation: 
1,What are the pros and cons of GMO food labeling?,Query: What are the pros and cons? |||| Context: I would like to learn about GMO Food labeling. |||| Reformulation: 
2,What are the cons of GMO food labeling?,Query: And what about the cons? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? |||| Reformulation: 
3,What are the GMO food labeling rules in the EU?,Query: What are the EU rules? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? |||| Reformulation: 
4,Tell me about traceability tools for GMO foods in the EU.,Query: Tell me more about traceability tools. |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? |||| Reformulation: 
5,What is the role of Co-Extra in GMO food traceability in the EU?,Query: What is the role of Co-Extra? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? ||| Tell me more about traceability tools. |||| Reformulation: 
6,How is food tested for GMO contamination?,Query: How is testing done for contamination? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? ||| Tell me more about traceability tools. ||| What is the role of Co-Extra? |||| Reformulation: 
7,What's the difference between the European Union and United States approaches to testing for GMO food contamination?,Query: What's the difference between the European and US approaches? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? ||| Tell me more about traceability tools. ||| What is the role of Co-Extra? ||| How is testing done for contamination? |||| Reformulation: 
8,How does the DNA-based method work for testing GMO contamination.,Query: How does the DNA-based method work? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? ||| Tell me more about traceability tools. ||| What is the role of Co-Extra? ||| How is testing done for contamination? ||| What's the difference between the European and US approaches? |||| Reformulation: 
9,How could Co-Extra improve DNA-based testing for GMO contamination?,Query: How could Co-Extra improve it? |||| Context: I would like to learn about GMO Food labeling. ||| What are the pros and cons? ||| And what about the cons? ||| What are the EU rules? ||| Tell me more about traceability tools. ||| What is the role of Co-Extra? ||| How is testing done for contamination? ||| What's the difference between the European and US approaches? ||| How does the DNA-based method work? |||| Reformulation: 
0,What are some interesting facts about bees?,Query: What are some interesting facts about bees? |||| Context:  |||| Reformulation: 
1,Why doesn't honey spoil?,Query: Why doesn't it spoil? |||| Context: What are some interesting facts about bees? |||| Reformulation: 
2,Why are so many bees dying?,Query: Why are so many dying? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? |||| Reformulation: 
3,What can be done to stop bees from dying?,Query: What can be done to stop it? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? ||| Why are so many dying? |||| Reformulation: 
4,What has happened to bee habitat?,Query: What has happened to their habitat? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? ||| Why are so many dying? ||| What can be done to stop it? |||| Reformulation: 
5,What can I do to help provide a habitat for bees?,Query: What can I do to help with the problem? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? ||| Why are so many dying? ||| What can be done to stop it? ||| What has happened to their habitat? |||| Reformulation: 
6,What is the cause of colony collapse disorder?,Query: What is the cause of CCD? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? ||| Why are so many dying? ||| What can be done to stop it? ||| What has happened to their habitat? ||| What can I do to help with the problem? |||| Reformulation: 
7,What would happen if the bees died out?,Query: What would happen if they died out? |||| Context: What are some interesting facts about bees? ||| Why doesn't it spoil? ||| Why are so many dying? ||| What can be done to stop it? ||| What has happened to their habitat? ||| What can I do to help with the problem? ||| What is the cause of CCD? |||| Reformulation: 
0,How does seed investment work for startups?,Query: How does seed investment work for startups? |||| Context:  |||| Reformulation: 
1,Tell me more about angel investment rounds.,Query: Tell me more about angel rounds. |||| Context: How does seed investment work for startups? |||| Reformulation: 
2,How does an angel investment round compare with crowdfunding?,Query: How does it compare with crowdfunding? |||| Context: How does seed investment work for startups? ||| Tell me more about angel rounds. |||| Reformulation: 
3,How much is a typical A series investment round?,Query: How much is a typical A series round? |||| Context: How does seed investment work for startups? ||| Tell me more about angel rounds. ||| How does it compare with crowdfunding? |||| Reformulation: 
4,What are the risks of investing in startups?,Query: What are the risks of investing? |||| Context: How does seed investment work for startups? ||| Tell me more about angel rounds. ||| How does it compare with crowdfunding? ||| How much is a typical A series round? |||| Reformulation: 
5,What are the different types of instruments used by Venture Capitalists?,Query: What are the different types of instruments used by VCs? |||| Context: How does seed investment work for startups? ||| Tell me more about angel rounds. ||| How does it compare with crowdfunding? ||| How much is a typical A series round? ||| What are the risks of investing? |||| Reformulation: 
0,How much does a Lamborghini cost?,Query: How much does a used Lamborghini cost? |||| Context:  |||| Reformulation: 
1,How does a Lamborghini compare to a Ferrari?,Query: How does it compare to a Ferrari? |||| Context: How much does a used Lamborghini cost? |||| Reformulation: 
2,Interesting. How much does a pimped-out food truck cost?,Query: Interesting. What about for a pimped-out food truck? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? |||| Reformulation: 
3,What licenses and permits are needed for a food truck?,Query: What licenses and permits are needed? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? |||| Reformulation: 
4,What makes a good food truck location?,Query: What makes a good location? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? ||| What licenses and permits are needed? |||| Reformulation: 
5,What is a typical day like running a food truck?,Query: What is a typical day like? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? ||| What licenses and permits are needed? ||| What makes a good location? |||| Reformulation: 
6,How can I run a successful food truck?,Query: How can I run it successfully? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? ||| What licenses and permits are needed? ||| What makes a good location? ||| What is a typical day like? |||| Reformulation: 
7,What are some good examples of successful food trucks to learn from?,Query: What are some good examples to learn from? |||| Context: How much does a used Lamborghini cost? ||| How does it compare to a Ferrari? ||| Interesting. What about for a pimped-out food truck? ||| What licenses and permits are needed? ||| What makes a good location? ||| What is a typical day like? ||| How can I run it successfully? |||| Reformulation: 
